Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
44,Luca Antonini,it ITA,"DF,MF",it Milan,27,1982,6,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Mikael Antonsson,se SWE,DF,dk FC Copenhagen,29,1981,8,8,707,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Álvaro Arbeloa,es ESP,DF,es Real Madrid,27,1983,9,9,810,9.0,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
47,Ari,ru RUS,FW,ru Spartak Moscow,24,1985,4,3,266,3.0,2,0,2,2,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches
48,Marko Arnautović,at AUT,"FW,MF",de Werder Bremen,21,1989,5,3,332,3.7,2,0,2,2,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches
49,John Arne Riise,no NOR,"DF,MF",it Roma,29,1980,5,5,376,4.2,0,1,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches
50,Andrey Arshavin,ru RUS,"FW,MF",eng Arsenal,29,1981,6,3,275,3.1,3,2,5,3,0,1,1,0,0.98,0.65,1.64,0.98,1.64,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Benoît Assou-Ekotto,cm CMR,DF,eng Tottenham Hotspur,26,1984,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Çağdaş Atan,tr TUR,DF,ch Basel,30,1980,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,André Ayew,gh GHA,"FW,MF",fr Marseille,20,1989,8,5,536,6.0,0,2,2,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,Matches
54,Jordan Ayew,gh GHA,"FW,MF",fr Marseille,18,1991,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Onur Ayık,tr TUR,"FW,MF",de Werder Bremen,20,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Serdar Aziz,tr TUR,DF,tr Bursaspor,19,1990,2,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
57,César Azpilicueta,es ESP,"DF,MF",fr Marseille,20,1989,4,4,360,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
58,Bello Babatounde,bj BEN,"FW,MF",sk MŠK Žilina,20,1989,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
59,Stefan Babović,rs SRB,MF,rs Partizan,23,1987,4,2,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Walid Badir,il ISR,"DF,MF",il Hapoel Tel Aviv,36,1974,6,3,308,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Holger Badstuber,de GER,DF,de Bayern Munich,21,1989,5,4,380,4.2,0,2,2,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches
