Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
311,Erik Jendrišek,sk SVK,"FW,MF",de Schalke 04,23,1986,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
312,Daniel Jensen,dk DEN,MF,de Werder Bremen,31,1979,3,3,266,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
313,Róbert Jež,sk SVK,MF,sk MŠK Žilina,29,1981,6,6,519,5.8,0,2,2,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
314,Park Ji-sung,kr KOR,MF,eng Manchester Utd,29,1981,9,8,729,8.1,1,1,2,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches
315,Joaquín,es ESP,"FW,MF",es Valencia,29,1981,5,4,377,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches
316,Jonas,br BRA,FW,es Valencia,26,1984,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
317,Jermaine Jones,us USA,MF,de Schalke 04,28,1981,4,3,239,2.7,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
318,Luuk de Jong,nl NED,FW,nl Twente,19,1990,6,4,385,4.3,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
319,Siem de Jong,nl NED,"FW,MF",nl Ajax,21,1989,5,4,385,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
320,Marko Jovanović,rs SRB,"DF,MF",rs Partizan,22,1988,4,4,326,3.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
321,Juan,br BRA,DF,it Roma,31,1979,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
322,Hao Junmin,cn CHN,"FW,MF",de Schalke 04,23,1987,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Mathias Jørgensen,dk DEN,DF,dk FC Copenhagen,20,1990,8,7,631,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
324,Charles Kaboré,bf BFA,"DF,MF",fr Marseille,22,1988,5,4,368,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
325,Younès Kaboul,fr FRA,DF,eng Tottenham Hotspur,24,1986,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Kaká,br BRA,"FW,MF",es Real Madrid,28,1982,3,1,98,1.1,0,1,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches
327,Gaël Kakuta,cd COD,"FW,MF",eng Chelsea,19,1991,5,2,157,1.7,0,1,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches
328,Vitali Kaleshin,ru RUS,"DF,MF",ru Rubin Kazan,29,1980,6,6,535,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
329,Kim Källström,se SWE,MF,fr Lyon,27,1982,6,4,366,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
330,Salomon Kalou,ci CIV,"FW,MF",eng Chelsea,24,1985,6,3,327,3.6,0,2,2,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches
331,Mohamed Kamara,sl SLE,MF,rs Partizan,22,1987,5,3,340,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
332,Cédric Kanté,ml MLI,DF,gr Panathinaikos,31,1979,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
333,Gökdeniz Karadeniz,tr TUR,"FW,MF",ru Rubin Kazan,30,1980,6,4,325,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
334,Giorgos Karagounis,gr GRE,MF,gr Panathinaikos,33,1977,4,2,212,2.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
335,Alan Kardec,br BRA,FW,pt Benfica,21,1989,4,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
336,Ali Karimi,ir IRN,"FW,MF",de Schalke 04,31,1978,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
337,Alan Kasaev,ru RUS,MF,ru Rubin Kazan,24,1986,5,3,287,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Kostas Katsouranis,gr GRE,"DF,MF",gr Panathinaikos,31,1979,5,5,328,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
339,Robbie Keane,ie IRL,FW,eng Tottenham Hotspur,30,1980,4,0,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
340,Mustafa Keçeli,tr TUR,DF,tr Bursaspor,31,1978,3,2,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
341,Seydou Keita,ml MLI,MF,es Barcelona,30,1980,10,4,425,4.7,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
342,Omri Kende,il ISR,"DF,MF",il Hapoel Tel Aviv,24,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
343,Houssine Kharja,ma MAR,MF,it Inter,27,1982,3,0,56,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
344,Sami Khedira,de GER,MF,es Real Madrid,23,1987,8,8,668,7.4,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
345,Ledley King,eng ENG,"DF,MF",eng Tottenham Hotspur,29,1980,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
346,Dominique Kivuvu,ao ANG,MF,ro CFR Cluj,22,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
347,Miroslav Klose,de GER,FW,de Bayern Munich,32,1978,2,1,100,1.1,1,0,1,1,0,0,0,0,0.90,0.00,0.90,0.90,0.90,Matches
348,Peer Kluge,de GER,MF,de Schalke 04,29,1980,8,5,458,5.1,0,2,2,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,Matches
349,Vasyl Kobin,ua UKR,"DF,MF",ua Shakhtar Donetsk,25,1985,2,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
350,Timothée Kolodziejczak,fr FRA,DF,fr Lyon,18,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Dmitri Kombarov,ru RUS,"DF,MF",ru Spartak Moscow,23,1987,6,6,534,5.9,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
352,Kirill Kombarov,ru RUS,"DF,MF",ru Spartak Moscow,23,1987,1,1,82,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
353,Emmanuel Koné,ci CIV,MF,ro CFR Cluj,23,1986,4,1,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
354,Sergei Kornilenko,by BLR,FW,ru Rubin Kazan,27,1983,5,5,408,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Laurent Koscielny,fr FRA,DF,eng Arsenal,24,1985,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
356,Aleksandr Kozlov,ru RUS,"FW,MF",ru Spartak Moscow,17,1993,2,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
357,Thomas Kraft,de GER,GK,de Bayern Munich,22,1988,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
358,Niko Kranjčar,hr CRO,MF,eng Tottenham Hotspur,25,1984,4,1,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
359,Thomas Kristensen,dk DEN,MF,dk FC Copenhagen,27,1983,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
360,Bojan Krkić,es ESP,"FW,MF",es Barcelona,19,1990,3,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
361,Felix Kroos,de GER,"DF,FW",de Werder Bremen,19,1991,1,1,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
362,Toni Kroos,de GER,MF,de Bayern Munich,20,1990,7,6,485,5.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
363,Mladen Krstajić,rs SRB,DF,rs Partizan,36,1974,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
364,Oleksandr Kucher,ua UKR,DF,ua Shakhtar Donetsk,27,1982,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
365,Nicky Kuiper,nl NED,DF,nl Twente,21,1989,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
366,Tomasz Kuszczak,pl POL,GK,eng Manchester Utd,28,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
367,Oleg Kuzmin,ru RUS,DF,ru Rubin Kazan,29,1981,2,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
368,William Kvist,dk DEN,MF,dk FC Copenhagen,25,1985,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
369,Alexandre Lacazette,fr FRA,FW,fr Lyon,19,1991,2,0,41,0.5,1,2,3,1,0,0,0,0,2.20,4.39,6.59,2.20,6.59,Matches
370,Kyle Lafferty,nir NIR,FW,sct Rangers,22,1987,4,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
371,Philipp Lahm,de GER,"DF,MF",de Bayern Munich,26,1983,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
372,Frank Lampard,eng ENG,MF,eng Chelsea,32,1978,4,4,360,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
373,Denny Landzaat,nl NED,MF,nl Twente,34,1976,6,4,357,4.0,1,0,1,0,1,1,0,0,0.25,0.00,0.25,0.00,0.00,Matches
374,Steeven Langil,fr FRA,"FW,MF",fr Auxerre,22,1988,4,2,185,2.1,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches
375,Peter Larsson,se SWE,DF,dk FC Copenhagen,26,1984,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Aleksandar Lazevski,mk MKD,"DF,MF",rs Partizan,22,1988,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
377,Anthony Le Tallec,fr FRA,"FW,MF",fr Auxerre,25,1984,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
378,Matheus Leite Nascimento,br BRA,"FW,MF",pt Braga,27,1983,6,6,508,5.6,3,0,3,3,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches
379,Vladimír Leitner,sk SVK,DF,sk MŠK Žilina,36,1974,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
380,Aaron Lennon,eng ENG,"FW,MF",eng Tottenham Hotspur,23,1987,10,8,734,8.2,0,5,5,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,Matches
381,Pedro León,es ESP,"FW,MF",es Real Madrid,23,1986,4,2,175,1.9,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches
382,Sebastián Leto,ar ARG,"FW,MF",gr Panathinaikos,23,1986,3,2,215,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
383,Thilo Leugers,de GER,"DF,MF",nl Twente,19,1991,2,2,170,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
384,Lima,br BRA,FW,pt Braga,27,1983,6,2,257,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
385,Rasmus Lindgren,se SWE,"DF,MF",nl Ajax,25,1984,5,2,211,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
386,Hugo Lloris,fr FRA,GK,fr Lyon,23,1986,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
387,Bogdan Lobonț,ro ROU,GK,it Roma,32,1978,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
388,Lisandro López,ar ARG,"FW,MF",fr Lyon,27,1983,5,5,427,4.7,2,1,3,2,0,0,0,0,0.42,0.21,0.63,0.42,0.63,Matches
389,Dejan Lovren,hr CRO,DF,fr Lyon,21,1989,6,6,540,6.0,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
390,Lúcio,br BRA,DF,it Inter,32,1978,8,8,692,7.7,0,2,2,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,Matches
391,Luisão,br BRA,DF,pt Benfica,29,1981,6,6,540,6.0,2,0,2,2,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches
392,David Luiz,br BRA,"DF,MF",pt Benfica,23,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
393,Federico Macheda,it ITA,FW,eng Manchester Utd,18,1991,2,1,95,1.1,0,1,1,0,0,0,0,0,0.00,0.95,0.95,0.00,0.95,Matches
394,Andrés Madrid,ar ARG,MF,pt Braga,29,1981,3,1,105,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
395,Hedwiges Maduro,nl NED,"DF,MF",es Valencia,25,1985,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
396,Cristian Maidana,ar ARG,MF,ru Spartak Moscow,23,1987,1,0,6,0.1,0,1,1,0,0,0,0,0,0.00,15.00,15.00,0.00,15.00,Matches
397,Tomáš Majtán,sk SVK,FW,sk MŠK Žilina,23,1987,6,4,358,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
398,Yevgeni Makeyev,ru RUS,DF,ru Spartak Moscow,21,1989,6,6,505,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
399,Jean Makoun,cm CMR,MF,fr Lyon,27,1983,3,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
400,Florent Malouda,fr FRA,"FW,MF",eng Chelsea,30,1980,9,7,650,7.2,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Steve Mandanda,fr FRA,GK,fr Marseille,25,1985,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
402,José Manuel Jurado,es ESP,MF,de Schalke 04,24,1986,11,11,932,10.4,3,3,6,3,0,0,2,0,0.29,0.29,0.58,0.29,0.58,Matches
403,José Manuel Pinto,es ESP,GK,es Barcelona,34,1975,2,2,180,2.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
404,Marcelo,br BRA,"DF,MF",es Real Madrid,22,1988,12,11,991,11.0,2,3,5,2,0,0,1,0,0.18,0.27,0.45,0.18,0.45,Matches
405,McDonald Mariga,ke KEN,MF,it Inter,23,1987,2,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
406,Marko Marin,de GER,"FW,MF",de Werder Bremen,21,1989,6,5,435,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
407,Stergos Marinos,gr GRE,"DF,MF",gr Panathinaikos,22,1987,6,5,426,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
408,Carlos Martins,pt POR,MF,pt Benfica,28,1982,6,5,435,4.8,0,5,5,0,0,0,1,0,0.00,01.03,01.03,0.00,01.03,Matches
409,Marcelo Martins Moreno,bo BOL,FW,ua Shakhtar Donetsk,23,1987,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
410,Obafemi Martins,ng NGA,FW,ru Rubin Kazan,25,1984,5,2,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
411,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,26,1984,11,10,880,9.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
412,Juan Mata,es ESP,"FW,MF",es Valencia,22,1988,7,5,480,5.3,1,3,4,0,1,1,2,0,0.19,0.56,0.75,0.00,0.56,Matches
413,Simão Mate Junior,mz MOZ,"DF,MF",gr Panathinaikos,22,1988,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
414,Marco Materazzi,it ITA,DF,it Inter,36,1973,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
415,Jérémy Mathieu,fr FRA,DF,es Valencia,26,1983,7,7,618,6.9,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
416,Joël Matip,cm CMR,"DF,MF",de Schalke 04,18,1991,11,6,613,6.8,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
417,Charalampos Mavrias,gr GRE,"DF,FW",gr Panathinaikos,16,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
418,Maxwell,br BRA,DF,es Barcelona,28,1981,7,4,370,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
419,Stéphane Mbia,cm CMR,"DF,MF",fr Marseille,24,1986,6,6,530,5.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
420,Lee McCulloch,sct SCO,"DF,FW",sct Rangers,32,1978,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
421,Josh McEachran,eng ENG,MF,eng Chelsea,17,1993,6,2,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
422,Aiden McGeady,ie IRL,"FW,MF",ru Spartak Moscow,24,1986,6,6,523,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
423,Allan McGregor,sct SCO,GK,sct Rangers,28,1982,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
424,Jordan McMillan,sct SCO,DF,sct Rangers,21,1988,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
425,Aleksei Medvedev,ru RUS,FW,ru Rubin Kazan,33,1977,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Jacob Mellis,eng ENG,MF,eng Chelsea,19,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
427,Jérémy Ménez,fr FRA,"FW,MF",it Roma,23,1987,6,5,350,3.9,2,1,3,2,0,0,3,0,0.51,0.26,0.77,0.51,0.77,Matches
428,Felipe Menezes,br BRA,MF,pt Benfica,22,1988,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
429,Victor Merey,il ISR,FW,il Hapoel Tel Aviv,21,1989,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
430,Alexander Merkel,kz KAZ,MF,it Milan,18,1992,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
431,Per Mertesacker,de GER,DF,de Werder Bremen,25,1984,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
432,Lionel Messi,ar ARG,"FW,MF",es Barcelona,23,1987,13,11,"1,046",11.6,12,3,15,11,1,2,0,0,01.03,0.26,1.29,0.95,1.20,Matches
433,Christoph Metzelder,de GER,DF,de Schalke 04,29,1980,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
434,Philippe Mexès,fr FRA,DF,it Roma,28,1982,6,6,491,5.5,1,0,1,1,0,0,1,1,0.18,0.00,0.18,0.18,0.18,Matches
435,Sebastian Mielitz,de GER,GK,de Werder Bremen,21,1989,2,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
436,Jean-Pascal Mignot,fr FRA,DF,fr Auxerre,29,1981,2,2,180,2.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
437,Nikolay Mihaylov,bg BUL,GK,nl Twente,22,1988,5,5,450,5.0,0,0,0,,,,1,0,0.00,0.00,0.00,,,Matches
438,Diego Milito,ar ARG,FW,it Inter,31,1979,4,3,286,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
439,Gabriel Milito,ar ARG,DF,es Barcelona,29,1980,2,0,36,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
440,Aleksandar Miljković,rs SRB,"DF,MF",rs Partizan,20,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
441,Kenny Miller,sct SCO,FW,sct Rangers,30,1979,6,6,501,5.6,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
442,Henrikh Mkhitaryan,am ARM,"FW,MF",ua Shakhtar Donetsk,21,1989,7,6,522,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
443,Luka Modrić,hr CRO,MF,eng Tottenham Hotspur,24,1985,8,7,563,6.3,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
444,Miguel Monteiro,pt POR,DF,es Valencia,30,1980,4,4,360,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches
445,Artur Moraes,br BRA,GK,pt Braga,29,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
446,Almami Moreira,gw GNB,MF,rs Partizan,32,1978,4,4,299,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
447,Christoph Moritz,de GER,MF,de Schalke 04,20,1990,3,2,187,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
448,Mossoró,br BRA,MF,pt Braga,27,1983,4,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
449,Thiago Motta,it ITA,MF,it Inter,27,1982,5,5,422,4.7,1,0,1,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches
450,Moisés Moura,br BRA,"DF,MF",pt Braga,31,1979,5,5,450,5.0,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Patrik Mráz,sk SVK,"DF,MF",sk MŠK Žilina,23,1987,3,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
452,Thomas Müller,de GER,"FW,MF",de Bayern Munich,20,1989,8,7,620,6.9,3,2,5,3,0,0,0,0,0.44,0.29,0.73,0.44,0.73,Matches
453,Sulley Muntari,gh GHA,MF,it Inter,25,1984,3,2,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
454,Rafał Murawski,pl POL,MF,ru Rubin Kazan,28,1981,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
455,Gabriel Mureșan,ro ROU,"DF,MF",ro CFR Cluj,28,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
456,Leyti N'Diaye,sn SEN,DF,fr Marseille,24,1985,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
457,Delvin N'Dinga,cg CGO,MF,fr Auxerre,22,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
458,Dame N'Doye,sn SEN,FW,dk FC Copenhagen,25,1985,8,8,697,7.7,2,0,2,2,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
459,Yūto Nagatomo,jp JPN,"DF,MF",it Inter,23,1986,3,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
460,Steven Naismith,sct SCO,"FW,MF",sct Rangers,23,1986,6,6,521,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
461,Nani,pt POR,"FW,MF",eng Manchester Utd,23,1986,12,9,751,8.3,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
462,Samir Nasri,fr FRA,"FW,MF",eng Arsenal,23,1987,8,6,559,6.2,2,3,5,2,0,0,1,0,0.32,0.48,0.81,0.32,0.81,Matches
463,Felice Natalino,it ITA,DF,it Inter,18,1992,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
464,Bibras Natkho,il ISR,MF,ru Rubin Kazan,22,1988,4,3,271,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
465,David Navarro,es ESP,DF,es Valencia,30,1980,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
466,César Navas,es ESP,DF,ru Rubin Kazan,30,1980,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
467,Alessandro Nesta,it ITA,DF,it Milan,34,1976,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
