Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
47,Milan Baroš,cz CZE,FW,eng Liverpool,20,1981,5,2,232,2.6,1,1,2,1,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
48,Fabien Barthez,fr FRA,GK,eng Manchester Utd,31,1971,10,10,891,9.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Christer Basma,no NOR,DF,no Rosenborg,29,1972,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Yıldıray Baştürk,tr TUR,MF,de Leverkusen,23,1978,11,11,922,10.2,0,2,2,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Gabriel Batistuta,ar ARG,FW,it Roma,33,1969,6,3,301,3.3,1,0,1,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches
52,David Beckham,eng ENG,MF,eng Manchester Utd,27,1975,11,8,733,8.1,2,4,6,2,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches
53,Craig Bellamy,wls WAL,FW,eng Newcastle United,23,1979,6,6,442,4.9,2,1,3,2,0,0,3,1,0.41,0.20,0.61,0.41,0.61,Matches
54,Emre Belözoğlu,tr TUR,MF,it Inter,21,1980,12,10,844,9.4,1,2,3,1,0,0,0,0,0.11,0.21,0.32,0.11,0.32,Matches
55,Arik Benado,il ISR,DF,il Maccabi Haifa,28,1973,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Benjani,zw ZIM,FW,fr Auxerre,23,1978,6,5,426,4.7,2,0,2,2,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches
57,Dimitar Berbatov,bg BUL,FW,de Leverkusen,21,1981,7,5,456,5.1,2,0,2,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
58,Héctor Berenguel,es ESP,DF,es Dep La Coruña,27,1974,8,7,599,6.7,0,2,2,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches
59,Ørjan Berg,no NOR,MF,no Rosenborg,33,1968,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Gaizka Bergara,es ESP,DF,nl Ajax,16,1986,8,6,549,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Patrik Berger,cz CZE,MF,eng Liverpool,28,1973,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Dennis Bergkamp,nl NED,FW,eng Arsenal,33,1969,7,6,523,5.8,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
63,Olivier Bernard,fr FRA,DF,eng Newcastle United,22,1979,8,6,591,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Nicola Berti,it ITA,MF,it Inter,35,1967,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Vladimir Beschastnykh,ru RUS,"FW,MF",ru Spartak Moscow,28,1974,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Mirsad Bešlija,ba BIH,MF,be Genk,23,1979,6,6,454,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Artyom Bezrodny,ru RUS,MF,ru Spartak Moscow,23,1979,4,3,246,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Daniel Bierofka,de GER,MF,de Leverkusen,23,1979,5,2,209,2.3,0,1,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches
